ID,X,Y,spud year,Direction,
Fut-OW-00001,6.183266E+05,3.541622E+06,2025,H,
Fut-OW-00002,6.300474E+05,3.550598E+06,2043,H,
Fut-OW-00003,6.329764E+05,3.563037E+06,2024,H,
Fut-OW-00004,6.299049E+05,3.562757E+06,2022,H,
Fut-OW-00005,6.237723E+05,3.562924E+06,2045,H,
Fut-OW-00006,6.340811E+05,3.560771E+06,2046,H,
Fut-OW-00007,6.117496E+05,3.541363E+06,2046,H,
Fut-OW-00008,6.182374E+05,3.558785E+06,2021,H,
Fut-OW-00009,6.129654E+05,3.568126E+06,2041,H,
Fut-OW-00010,6.306244E+05,3.545796E+06,2039,H,
Fut-OW-00011,6.208711E+05,3.566701E+06,2040,H,
Fut-OW-00012,6.260683E+05,3.567975E+06,2027,H,
Fut-OW-00013,6.052677E+05,3.549751E+06,2040,H,
Fut-OW-00014,6.057691E+05,3.558419E+06,2033,H,
Fut-OW-00015,6.132929E+05,3.550574E+06,2033,H,
Fut-OW-00016,6.264072E+05,3.550397E+06,2035,H,
Fut-OW-00017,6.281221E+05,3.576341E+06,2039,H,
Fut-OW-00018,6.043513E+05,3.559585E+06,2023,H,
Fut-OW-00019,6.146523E+05,3.574358E+06,2041,H,
Fut-OW-00020,6.089693E+05,3.552189E+06,2040,H,
Fut-OW-00021,6.313528E+05,3.555744E+06,2034,H,
Fut-OW-00022,6.193926E+05,3.576569E+06,2043,H,
Fut-OW-00023,6.042676E+05,3.550151E+06,2035,H,
Fut-OW-00024,6.270864E+05,3.546850E+06,2042,H,
Fut-OW-00025,6.174089E+05,3.542221E+06,2041,H,
Fut-OW-00026,6.056648E+05,3.571081E+06,2033,H,
Fut-OW-00027,6.299086E+05,3.572881E+06,2041,H,
Fut-OW-00028,6.175854E+05,3.549543E+06,2028,H,
Fut-OW-00029,6.294310E+05,3.561131E+06,2043,H,
Fut-OW-00030,6.241873E+05,3.577218E+06,2030,H,
Fut-OW-00031,6.245251E+05,3.559929E+06,2043,H,
Fut-OW-00032,6.302744E+05,3.543695E+06,2043,H,
Fut-OW-00033,6.106352E+05,3.577662E+06,2035,H,
Fut-OW-00034,6.313794E+05,3.574613E+06,2025,H,
Fut-OW-00035,6.144584E+05,3.555441E+06,2032,H,
Fut-OW-00036,6.191150E+05,3.554040E+06,2031,H,
Fut-OW-00037,6.317976E+05,3.558785E+06,2043,H,
Fut-OW-00038,6.265135E+05,3.567406E+06,2030,H,
Fut-OW-00039,6.220364E+05,3.563086E+06,2045,H,
Fut-OW-00040,6.200729E+05,3.547250E+06,2032,H,
Fut-OW-00041,6.278420E+05,3.555853E+06,2041,H,
Fut-OW-00042,6.223019E+05,3.572419E+06,2021,H,
Fut-OW-00043,6.064771E+05,3.541614E+06,2034,H,
Fut-OW-00044,6.216484E+05,3.543713E+06,2041,H,
Fut-OW-00045,6.142886E+05,3.570616E+06,2027,H,
Fut-OW-00046,6.254380E+05,3.561139E+06,2028,H,
Fut-OW-00047,6.169806E+05,3.560086E+06,2024,H,
Fut-OW-00048,6.227536E+05,3.566625E+06,2044,H,
Fut-OW-00049,6.089839E+05,3.573898E+06,2033,H,
Fut-OW-00050,6.207413E+05,3.572847E+06,2032,H,
Fut-OW-00051,6.083186E+05,3.564449E+06,2022,H,
Fut-OW-00052,6.062636E+05,3.577775E+06,2030,H,
Fut-OW-00053,6.238468E+05,3.550557E+06,2035,H,
Fut-OW-00054,6.343213E+05,3.573134E+06,2032,H,
Fut-OW-00055,6.104118E+05,3.549469E+06,2024,H,
Fut-OW-00056,6.197016E+05,3.567766E+06,2028,H,
Fut-OW-00057,6.116176E+05,3.551194E+06,2041,H,
Fut-OW-00058,6.109681E+05,3.547185E+06,2036,H,
Fut-OW-00059,6.216581E+05,3.563568E+06,2033,H,
Fut-OW-00060,6.102015E+05,3.558168E+06,2036,H,
Fut-OW-00061,6.128270E+05,3.551700E+06,2031,H,
Fut-OW-00062,6.189963E+05,3.574751E+06,2039,H,
Fut-OW-00063,6.249565E+05,3.552150E+06,2028,H,
Fut-OW-00064,6.247106E+05,3.542100E+06,2030,H,
Fut-OW-00065,6.074670E+05,3.568654E+06,2045,H,
Fut-OW-00066,6.071403E+05,3.569543E+06,2025,H,
Fut-OW-00067,6.139990E+05,3.541633E+06,2039,H,
Fut-OW-00068,6.184044E+05,3.547605E+06,2040,H,
Fut-OW-00069,6.052516E+05,3.564473E+06,2042,H,
Fut-OW-00070,6.225336E+05,3.548894E+06,2029,H,
Fut-OW-00071,6.053431E+05,3.558170E+06,2043,H,
Fut-OW-00072,6.105333E+05,3.542623E+06,2039,H,
Fut-OW-00073,6.328838E+05,3.547343E+06,2043,H,
Fut-OW-00074,6.109817E+05,3.544099E+06,2039,H,
Fut-OW-00075,6.329525E+05,3.570897E+06,2029,H,
Fut-OW-00076,6.053443E+05,3.547002E+06,2037,H,
Fut-OW-00077,6.164319E+05,3.572591E+06,2042,H,
Fut-OW-00078,6.300441E+05,3.555038E+06,2030,H,
Fut-OW-00079,6.168899E+05,3.566296E+06,2042,H,
Fut-OW-00080,6.167128E+05,3.561890E+06,2024,H,
Fut-OW-00081,6.319018E+05,3.569281E+06,2045,H,
Fut-OW-00082,6.249846E+05,3.555075E+06,2037,H,
Fut-OW-00083,6.283111E+05,3.570205E+06,2037,H,
Fut-OW-00084,6.227621E+05,3.566679E+06,2038,H,
Fut-OW-00085,6.077129E+05,3.556225E+06,2023,H,
Fut-OW-00086,6.241268E+05,3.563133E+06,2032,H,
Fut-OW-00087,6.329016E+05,3.562085E+06,2043,H,
Fut-OW-00088,6.257351E+05,3.549883E+06,2042,H,
Fut-OW-00089,6.136283E+05,3.544992E+06,2042,H,
Fut-OW-00090,6.095409E+05,3.555667E+06,2025,H,
Fut-OW-00091,6.120433E+05,3.572564E+06,2025,H,
Fut-OW-00092,6.043181E+05,3.570036E+06,2025,H,
Fut-OW-00093,6.306156E+05,3.574315E+06,2046,H,
Fut-OW-00094,6.248041E+05,3.561696E+06,2046,H,
Fut-OW-00095,6.066262E+05,3.548781E+06,2026,H,
Fut-OW-00096,6.249407E+05,3.557473E+06,2024,H,
