Year,A,B,C
1.995000E+03,1.370786E+03,1.639212E-01,8.850095E+01
1.996000E+03,1.370786E+03,1.639212E-01,8.850095E+01
1.997000E+03,1.370786E+03,1.639212E-01,8.850095E+01
1.998000E+03,1.370786E+03,1.639212E-01,8.850095E+01
1.999000E+03,1.370786E+03,1.639212E-01,8.850095E+01
2.000000E+03,2.770842E+02,9.140459E-02,-1.87133E+02
2.001000E+03,2.770842E+02,9.140459E-02,-1.87133E+02
2.002000E+03,2.770842E+02,9.140459E-02,-1.87133E+02
2.003000E+03,2.770842E+02,9.140459E-02,-1.87133E+02
2.004000E+03,2.770842E+02,9.140459E-02,-1.87133E+02
2.005000E+03,2.770842E+02,9.140459E-02,-1.87133E+02
2.006000E+03,2.770842E+02,9.140459E-02,-1.87133E+02
2.007000E+03,1.545372E+03,2.297835E-02,1.304504E+02
2.008000E+03,1.545372E+03,2.297835E-02,1.304504E+02
2.009000E+03,1.545372E+03,2.297835E-02,1.304504E+02
2.010000E+03,1.593268E+04,8.002870E-01,4.299299E+02
2.011000E+03,1.593268E+04,8.002870E-01,4.299299E+02
2.012000E+03,1.593268E+04,8.002870E-01,4.299299E+02
2.013000E+03,1.593268E+04,8.002870E-01,4.299299E+02
2.014000E+03,7.856720E+04,4.672660E-01,1.141987E+04
2.015000E+03,2.032557E+04,8.129831E-02,-2.86883E+03
2.016000E+03,4.417712E+04,1.911055E-01,1.334465E+03
2.017000E+03,1.467904E+04,1.174620E-01,2.852193E+03
2.018000E+03,2.302861E+04,7.451780E-02,6.770142E+02
2.019000E+03,5.430812E+04,1.267788E-01,-9.83941E+02
2.020000E+03,3.991800E+07,4.818773E-05,-3.98902E+07
