Year,A,B,C
1.995000E+03,4.859418E+02,2.217329E-01,2.781196E+01
1.996000E+03,1.026166E+03,1.193055E-01,1.620319E+02
1.997000E+03,5.598739E+02,5.267296E-02,-7.30173E+01
1.998000E+03,5.357187E+03,6.503306E-02,1.788835E+02
1.999000E+03,8.113757E+02,2.330543E-02,6.399833E+01
2.000000E+03,1.485317E+03,7.494454E-02,7.891917E+01
2.001000E+03,1.003150E+03,3.481429E-02,6.820526E+01
2.002000E+03,2.516811E+08,1.380373E+01,5.933331E+01
2.003000E+03,-1.88920E+06,3.668252E-05,1.889193E+06
2.004000E+03,6.084290E+02,3.459153E-02,4.905701E+01
2.005000E+03,4.558761E+02,4.051518E-02,7.878495E+01
2.006000E+03,3.379286E+02,1.257572E-01,1.023855E+02
2.007000E+03,7.861784E+02,3.240068E-02,-6.16833E+00
2.008000E+03,7.861784E+02,3.240068E-02,-6.16833E+00
2.009000E+03,7.013520E+02,4.512098E-02,1.541739E+02
2.010000E+03,7.013520E+02,4.512098E-02,1.541739E+02
2.011000E+03,2.098638E+03,2.038871E-01,1.788016E+02
2.012000E+03,8.483761E+04,2.319143E-05,-8.47518E+04
2.013000E+03,9.005608E+03,1.163974E-01,1.304409E+03
2.014000E+03,9.005608E+03,1.163974E-01,1.304409E+03
2.015000E+03,4.762870E+02,2.036548E-01,8.131947E+01
2.016000E+03,4.762870E+02,2.036548E-01,8.131947E+01
2.017000E+03,9.106384E+01,5.821413E-02,-1.24999E+00
2.018000E+03,8.771859E+03,4.562343E-05,-8.75026E+03
2.019000E+03,-3.23330E+04,8.506166E-05,3.233149E+04
2.020000E+03,-3.23330E+04,8.506166E-05,3.233149E+04
