ID,X,Y,spud year,Direction
30-015-45926,6.129799E+05,3.564276E+06,2020,H
30-015-45923,6.124629E+05,3.564269E+06,2020,H
30-015-45925,6.125391E+05,3.564270E+06,2020,H
30-015-45927,6.130547E+05,3.560389E+06,2020,H
30-015-45937,6.125393E+05,3.564260E+06,2020,H
30-015-45934,6.130074E+05,3.552392E+06,2020,H
30-015-45482,6.146079E+05,3.552411E+06,2020,H
30-025-44604,6.256356E+05,3.546829E+06,2020,H
30-015-45507,6.150419E+05,3.552415E+06,2020,H
30-015-45513,6.045405E+05,3.553122E+06,2020,H
30-025-45502,6.319952E+05,3.551628E+06,2020,H
30-015-45696,6.045496E+05,3.553122E+06,2020,H
30-025-45503,6.319645E+05,3.551646E+06,2020,H
30-015-45857,6.101655E+05,3.552357E+06,2020,H
30-015-45848,6.101849E+05,3.552357E+06,2020,H
30-015-45839,6.103885E+05,3.564238E+06,2020,H
30-015-45858,6.101747E+05,3.552357E+06,2020,H
30-015-45865,6.101564E+05,3.552357E+06,2020,H
30-015-44923,6.114863E+05,3.541950E+06,2020,H
30-015-45849,6.105861E+05,3.552362E+06,2020,H
30-015-45851,6.105769E+05,3.552361E+06,2020,H
30-015-45866,6.105586E+05,3.552361E+06,2020,H
30-015-45854,6.105678E+05,3.552361E+06,2020,H
30-015-44922,6.114757E+05,3.541950E+06,2020,H
30-015-45916,6.125960E+05,3.552387E+06,2020,H
30-015-45512,6.048579E+05,3.553096E+06,2020,H
30-015-45476,6.045587E+05,3.553123E+06,2020,H
30-015-45514,6.047939E+05,3.553109E+06,2020,H
30-015-45515,6.048031E+05,3.553109E+06,2020,H
30-015-45516,6.052965E+05,3.553097E+06,2020,H
30-015-46507,6.161467E+05,3.546721E+06,2020,H
30-025-46326,6.325543E+05,3.551635E+06,2020,H
30-015-46254,6.065189E+05,3.552250E+06,2020,H
30-015-46266,6.069111E+05,3.552257E+06,2020,H
30-015-46292,6.065280E+05,3.552250E+06,2020,H
30-015-46245,6.061075E+05,3.552242E+06,2020,H
30-015-46290,6.065097E+05,3.552250E+06,2020,H
30-015-46261,6.069203E+05,3.552258E+06,2020,H
30-015-46257,6.061167E+05,3.552242E+06,2020,H
30-015-46247,6.065006E+05,3.552250E+06,2020,H
30-015-46478,6.157964E+05,3.546716E+06,2020,H
30-015-46564,6.162373E+05,3.546510E+06,2020,H
30-015-46622,6.121276E+05,3.564288E+06,2020,H
30-015-46546,6.114102E+05,3.564136E+06,2020,H
