Year,A,B,C
1.995000E+03,9.111766E+02,1.586579E-02,-1.62865E+02
1.996000E+03,9.111766E+02,1.586579E-02,-1.62865E+02
1.997000E+03,9.111766E+02,1.586579E-02,-1.62865E+02
1.998000E+03,9.111766E+02,1.586579E-02,-1.62865E+02
1.999000E+03,9.111766E+02,1.586579E-02,-1.62865E+02
2.000000E+03,9.111766E+02,1.586579E-02,-1.62865E+02
2.001000E+03,9.111766E+02,1.586579E-02,-1.62865E+02
2.002000E+03,9.111766E+02,1.586579E-02,-1.62865E+02
2.003000E+03,9.111766E+02,1.586579E-02,-1.62865E+02
2.004000E+03,9.111766E+02,1.586579E-02,-1.62865E+02
2.005000E+03,9.111766E+02,1.586579E-02,-1.62865E+02
2.006000E+03,9.111766E+02,1.586579E-02,-1.62865E+02
2.007000E+03,9.111766E+02,1.586579E-02,-1.62865E+02
2.008000E+03,9.111766E+02,1.586579E-02,-1.62865E+02
2.009000E+03,9.111766E+02,1.586579E-02,-1.62865E+02
2.010000E+03,9.111766E+02,1.586579E-02,-1.62865E+02
2.011000E+03,9.111766E+02,1.586579E-02,-1.62865E+02
2.012000E+03,9.111766E+02,1.586579E-02,-1.62865E+02
2.013000E+03,9.111766E+02,1.586579E-02,-1.62865E+02
2.014000E+03,4.209569E+03,1.132157E-01,6.000010E+02
2.015000E+03,3.231370E+03,2.143782E-01,4.717998E+02
2.016000E+03,3.231370E+03,2.143782E-01,4.717998E+02
2.017000E+03,3.231370E+03,2.143782E-01,4.717998E+02
2.018000E+03,1.886600E+04,2.290144E-01,3.655482E+03
2.019000E+03,1.886600E+04,2.290144E-01,3.655482E+03
2.020000E+03,1.886600E+04,2.290144E-01,3.655482E+03
