Year,A,B,C
1.995000E+03,1.206230E+03,4.087200E-02,2.468399E+02
1.996000E+03,1.206230E+03,4.087200E-02,2.468399E+02
1.997000E+03,1.206230E+03,4.087200E-02,2.468399E+02
1.998000E+03,1.206230E+03,4.087200E-02,2.468399E+02
1.999000E+03,1.206230E+03,4.087200E-02,2.468399E+02
2.000000E+03,1.206230E+03,4.087200E-02,2.468399E+02
2.001000E+03,1.206230E+03,4.087200E-02,2.468399E+02
2.002000E+03,1.206230E+03,4.087200E-02,2.468399E+02
2.003000E+03,1.206230E+03,4.087200E-02,2.468399E+02
2.004000E+03,1.206230E+03,4.087200E-02,2.468399E+02
2.005000E+03,1.206230E+03,4.087200E-02,2.468399E+02
2.006000E+03,5.201002E+03,5.851583E-02,5.190107E+02
2.007000E+03,8.798060E+02,2.976693E-02,7.828854E+01
2.008000E+03,2.392033E+03,5.250418E-02,4.210733E+02
2.009000E+03,1.306584E+04,1.757660E-01,5.596200E+02
2.010000E+03,7.227824E+03,8.934032E-02,2.160401E+02
2.011000E+03,9.051454E+03,1.290476E-01,5.247527E+02
2.012000E+03,8.228192E+03,1.306915E-01,6.527260E+02
2.013000E+03,1.113838E+04,1.224669E-01,9.237237E+02
2.014000E+03,1.303395E+04,1.011654E-01,1.121592E+03
2.015000E+03,1.457256E+04,8.357668E-02,1.064261E+03
2.016000E+03,2.133886E+04,1.146172E-01,1.425350E+03
2.017000E+03,2.782268E+04,1.177065E-01,1.693778E+03
2.018000E+03,3.113178E+04,1.188711E-01,1.786462E+03
2.019000E+03,4.010039E+04,1.375762E-01,5.233912E+02
2.020000E+03,4.957130E+04,1.338217E-01,-7.55232E+03
