Year,A,B,C
1.995000E+03,2.674278E+03,4.361948E-02,1.891837E+02
1.996000E+03,2.090807E+03,3.622596E-02,1.481026E+02
1.997000E+03,1.283020E+03,4.917971E-02,1.302544E+02
1.998000E+03,1.429867E+03,4.078291E-02,1.108583E+02
1.999000E+03,1.606333E+03,3.017161E-02,1.285423E+02
2.000000E+03,1.420425E+03,3.588462E-02,1.361589E+02
2.001000E+03,1.314585E+03,3.325773E-02,1.075489E+02
2.002000E+03,2.034996E+03,5.566578E-02,2.042280E+02
2.003000E+03,1.519411E+03,3.803992E-02,1.223443E+02
2.004000E+03,1.604715E+03,5.523487E-02,1.381559E+02
2.005000E+03,1.033421E+03,3.458357E-02,1.590251E+02
2.006000E+03,1.436209E+03,5.858803E-02,1.819873E+02
2.007000E+03,1.535091E+03,5.424512E-02,1.997481E+02
2.008000E+03,8.798836E+02,3.086483E-02,1.068113E+02
2.009000E+03,1.068977E+03,3.366190E-02,3.000285E+01
2.010000E+03,4.098215E+03,1.040880E-01,3.683680E+02
2.011000E+03,5.800924E+03,8.861300E-02,4.432196E+02
2.012000E+03,6.632870E+03,9.314999E-02,5.492266E+02
2.013000E+03,9.395020E+03,9.173511E-02,6.858809E+02
2.014000E+03,6.263850E+03,9.484568E-02,7.708936E+02
2.015000E+03,3.944297E+03,2.056880E-01,5.824344E+02
2.016000E+03,3.944297E+03,2.056880E-01,5.824344E+02
2.017000E+03,3.944297E+03,2.056880E-01,5.824344E+02
2.018000E+03,-6.65195E+03,-1.50277E-04,6.656615E+03
2.019000E+03,-6.65195E+03,-1.50277E-04,6.656615E+03
2.020000E+03,-6.65195E+03,-1.50277E-04,6.656615E+03
