ID,X,Y,spud year,Direction
30-025-46643,6.241683E+05,3.553386E+06,2020,H
30-015-45922,6.133446E+05,3.564333E+06,2020,H
30-015-45712,6.123555E+05,3.571019E+06,2020,H
30-015-45920,6.129800E+05,3.552392E+06,2020,H
30-015-45716,6.125203E+05,3.570998E+06,2020,H
30-015-45717,6.125310E+05,3.570998E+06,2020,H
30-015-45754,6.126468E+05,3.571008E+06,2020,H
30-015-45781,6.135383E+05,3.570976E+06,2020,H
30-025-46909,6.239179E+05,3.546808E+06,2020,H
30-025-46910,6.258154E+05,3.546831E+06,2020,H
30-025-46906,6.287597E+05,3.553967E+06,2020,H
30-025-44880,6.278411E+05,3.559797E+06,2020,H
30-015-45477,6.045314E+05,3.553122E+06,2020,H
30-015-45702,6.047756E+05,3.553109E+06,2020,H
30-025-44235,6.207439E+05,3.544289E+06,2020,H
30-025-44233,6.207237E+05,3.544289E+06,2020,H
30-025-44219,6.207137E+05,3.544289E+06,2020,H
30-025-44234,6.207786E+05,3.544290E+06,2020,H
30-015-45828,6.103125E+05,3.564227E+06,2020,H
30-025-45871,6.216333E+05,3.564590E+06,2020,H
30-025-45873,6.216120E+05,3.564589E+06,2020,H
30-025-45872,6.216227E+05,3.564589E+06,2020,H
30-015-45931,6.124631E+05,3.564259E+06,2020,H
30-015-45703,6.047848E+05,3.553109E+06,2020,H
30-015-45699,6.045222E+05,3.553122E+06,2020,H
30-015-45698,6.052875E+05,3.553096E+06,2020,H
30-025-44882,6.278228E+05,3.559797E+06,2020,H
30-025-44883,6.278320E+05,3.559797E+06,2020,H
30-025-46295,6.325603E+05,3.551635E+06,2020,H
30-025-46571,6.292648E+05,3.553970E+06,2020,H
30-025-46325,6.319891E+05,3.551628E+06,2020,H
30-015-46118,6.198678E+05,3.575667E+06,2020,H
30-025-46250,6.215326E+05,3.575703E+06,2020,H
30-015-46372,6.107946E+05,3.570595E+06,2020,H
30-025-46294,6.325665E+05,3.551635E+06,2020,H
30-015-46179,6.166090E+05,3.570607E+06,2020,H
30-015-46117,6.198586E+05,3.575667E+06,2020,H
30-025-46709,6.306725E+05,3.556496E+06,2020,H
30-025-46568,6.287496E+05,3.553967E+06,2020,H
30-025-46567,6.290076E+05,3.553968E+06,2020,H
30-015-46756,6.183319E+05,3.575833E+06,2020,H
30-025-46475,6.224735E+05,3.557328E+06,2020,H
