H_Total_oil ,H_Total_gas ,H_Total_PW  ,H_Excess    ,H_OutFTPlant,F_Total_Oil ,F_Total_gas ,F_Total_PW  ,F_Excess    ,F_OutFTPlant,
 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00,
 1.17818E+06, 2.65327E+04, 2.69805E+05, 0.00000E+00, 0.00000E+00, 2.78801E+06, 5.35094E+05, 6.42780E+06, 2.48370E+06, 1.14872E+06,
 1.13151E+06, 2.62846E+04, 2.59115E+05, 0.00000E+00, 0.00000E+00, 2.43572E+06, 4.69856E+05, 5.61559E+06, 2.14853E+06, 9.93481E+05,
 1.08684E+06, 2.60859E+04, 2.48886E+05, 0.00000E+00, 0.00000E+00, 2.12870E+06, 4.12387E+05, 4.90776E+06, 1.85906E+06, 8.59410E+05,
 1.04407E+06, 2.59266E+04, 2.39091E+05, 0.00000E+00, 0.00000E+00, 1.86115E+06, 3.61760E+05, 4.29091E+06, 1.60909E+06, 7.43624E+05,
 1.00311E+06, 2.57991E+04, 2.29715E+05, 0.00000E+00, 0.00000E+00, 1.62799E+06, 3.17162E+05, 3.75336E+06, 1.39325E+06, 6.43637E+05,
 9.63923E+05, 2.56969E+04, 2.20738E+05, 0.00000E+00, 0.00000E+00, 1.42479E+06, 2.77874E+05, 3.28489E+06, 1.20687E+06, 5.57299E+05,
 9.26396E+05, 2.56150E+04, 2.12143E+05, 0.00000E+00, 0.00000E+00, 1.24772E+06, 2.43264E+05, 2.87663E+06, 1.04594E+06, 4.82747E+05,
 8.90474E+05, 2.55494E+04, 2.03917E+05, 0.00000E+00, 0.00000E+00, 1.09340E+06, 2.12775E+05, 2.52085E+06, 9.07003E+05, 4.18377E+05,
 8.56077E+05, 2.54969E+04, 1.96042E+05, 0.00000E+00, 0.00000E+00, 9.58917E+05, 1.85917E+05, 2.21080E+06, 7.87046E+05, 3.62801E+05,
 8.23159E+05, 2.54548E+04, 1.88503E+05, 0.00000E+00, 0.00000E+00, 8.41720E+05, 1.62256E+05, 1.94060E+06, 6.83480E+05, 3.14818E+05,
 7.91635E+05, 2.54210E+04, 1.81285E+05, 0.00000E+00, 0.00000E+00, 7.39586E+05, 1.41413E+05, 1.70513E+06, 5.94067E+05, 2.73392E+05,
 8.65358E+05, 2.75396E+04, 3.23893E+05, 0.00000E+00, 0.00000E+00, 4.62317E+06, 5.91628E+05, 1.09478E+07, 3.77261E+06, 2.37627E+05,
 8.33026E+05, 2.73131E+04, 3.11794E+05, 0.00000E+00, 0.00000E+00, 4.04254E+06, 5.18487E+05, 9.57284E+06, 3.26242E+06, 1.50904E+06,
 8.02060E+05, 2.71140E+04, 3.00199E+05, 0.00000E+00, 0.00000E+00, 3.53653E+06, 4.54056E+05, 8.37460E+06, 2.82224E+06, 1.30497E+06,
 7.72375E+05, 2.69387E+04, 2.89093E+05, 0.00000E+00, 0.00000E+00, 3.09556E+06, 3.97296E+05, 7.33037E+06, 2.44248E+06, 1.12890E+06,
 7.43948E+05, 2.67843E+04, 2.78449E+05, 0.00000E+00, 0.00000E+00, 2.71128E+06, 3.47294E+05, 6.42036E+06, 2.11487E+06, 9.76991E+05,
 7.16706E+05, 2.66483E+04, 2.68255E+05, 0.00000E+00, 0.00000E+00, 2.37638E+06, 3.03247E+05, 5.62731E+06, 1.83225E+06, 8.45947E+05,
 6.90609E+05, 2.65284E+04, 2.58486E+05, 0.00000E+00, 0.00000E+00, 2.08452E+06, 2.64444E+05, 4.93621E+06, 1.58847E+06, 7.32901E+05,
 6.65596E+05, 2.64225E+04, 2.49124E+05, 0.00000E+00, 0.00000E+00, 1.83018E+06, 2.30262E+05, 4.33393E+06, 1.37819E+06, 6.35389E+05,
 6.41636E+05, 2.63291E+04, 2.40156E+05, 0.00000E+00, 0.00000E+00, 1.60854E+06, 2.00150E+05, 3.80905E+06, 1.19680E+06, 5.51276E+05,
 6.18681E+05, 2.62465E+04, 2.31564E+05, 0.00000E+00, 0.00000E+00, 1.41538E+06, 1.73623E+05, 3.35165E+06, 1.04035E+06, 4.78721E+05,
 5.96689E+05, 2.61736E+04, 2.23332E+05, 0.00000E+00, 0.00000E+00, 1.24705E+06, 1.50255E+05, 2.95303E+06, 9.05400E+05, 4.16141E+05,
 5.75609E+05, 2.61091E+04, 2.15444E+05, 0.00000E+00, 0.00000E+00, 1.10035E+06, 1.29669E+05, 2.60565E+06, 7.88992E+05, 3.62160E+05,
 6.16297E+05, 2.83427E+04, 3.07475E+05, 0.00000E+00, 0.00000E+00, 4.69682E+06, 6.73826E+05, 1.14126E+07, 3.41237E+06, 3.15597E+05,
 5.94328E+05, 2.81560E+04, 2.96513E+05, 0.00000E+00, 0.00000E+00, 4.11377E+06, 5.89492E+05, 9.99589E+06, 2.95079E+06, 1.36495E+06,
 5.73292E+05, 2.79820E+04, 2.86019E+05, 0.00000E+00, 0.00000E+00, 3.60568E+06, 5.15200E+05, 8.76129E+06, 2.55304E+06, 1.18031E+06,
 5.53150E+05, 2.78199E+04, 2.75968E+05, 0.00000E+00, 0.00000E+00, 3.16289E+06, 4.49753E+05, 7.68536E+06, 2.21031E+06, 1.02122E+06,
 5.33865E+05, 2.76685E+04, 2.66349E+05, 0.00000E+00, 0.00000E+00, 2.77701E+06, 3.92100E+05, 6.74772E+06, 1.91500E+06, 8.84124E+05,
 5.15400E+05, 2.75272E+04, 2.57135E+05, 0.00000E+00, 0.00000E+00, 2.44073E+06, 3.41312E+05, 5.93059E+06, 1.66057E+06, 7.66002E+05,
